Index,Species,Group,Action_Priority,Action_Type,Delivery_mechanism,Classification
47,Melanthia procellata,Moth,Medium,Research,NA,Landscape
48,Mesoligia literosa,Moth,Medium,Research,NA,Landscape
49,Mythimna comma,Moth,Medium,Research,NA,Landscape
50,Orthonama vittata,Moth,Medium,Research,NA,Landscape
51,Orthosia gracilis,Moth,Medium,Research,NA,Landscape
52,Pelurga comitata,Moth,Medium,Research,NA,Landscape
54,Rhizedra lutosa,Moth,High,Research,NA,Landscape
55,Scopula marginepunctata,Moth,Medium,Research,NA,Landscape
56,Scotopteryx chenopodiata,Moth,Medium,Research,NA,Landscape
59,Spilosoma lubricipeda,Moth,Medium,Research,NA,Landscape
60,Spilosoma luteum,Moth,Medium,Research,NA,Landscape
61,Stilbia anomala,Moth,Medium,Research,NA,Landscape
63,Tholera cespitis,Moth,Medium,Research,NA,Landscape
64,Tholera decimalis,Moth,Medium,Research,NA,Landscape
65,Timandra comae,Moth,Medium,Research,NA,Landscape
66,Trichiura crataegi,Moth,Medium,Research,NA,Landscape
67,Tyria jacobaeae,Moth,Medium,Research,NA,Landscape
68,Watsonalla binaria,Moth,Medium,Research,NA,Landscape
69,Xanthia gilvago,Moth,Medium,Research,NA,Landscape
70,Xanthia icteritia,Moth,Medium,Research,NA,Landscape
71,Xanthorhoe decoloraria,Moth,Medium,Research,NA,Landscape
72,Xanthorhoe ferrugata,Moth,Medium,Research,NA,Landscape
73,Xestia agathina,Moth,Medium,Research,NA,Landscape
58,Spaelotis ravida,Moth,NA,Believed Extinct,NA,NA
7,Burhinus oedicnemus,Bird,Urgent,Species management ,NA,Spotlight
9,Circus cyaneus,Bird,Urgent,Species management ,NA,Spotlight
10,Crex crex,Bird,Urgent,Species management ,Reintroduction,Spotlight
13,Emberiza cirlus,Bird,Urgent,Species management ,Translocation,Spotlight
20,Coleophora tricolor,Moth,High,Bespoke habitat management,NELMS,Spotlight
31,Eustroma reticulatum,Moth,High,Bespoke habitat management,NELMS,Spotlight
39,Hydraecia osseola subsp. hucherardi,Moth,High,Bespoke habitat management,NELMS,Spotlight
1,Argynnis adippe,Butterflies,Urgent,Bespoke Habitat management,ELM,Targeted
3,Boloria euphrosyne,Butterflies,Urgent,Bespoke Habitat management,ELM,Targeted
8,Euphydryas aurinia,Butterflies,Urgent,Bespoke Habitat management,ELM,Targeted
14,Maculinea arion,Butterflies,Urgent,Bespoke Habitat management,CSS,Targeted
15,Melitaea athalia,Butterflies,Urgent,Bespoke Habitat management,ELM,Targeted
1,Acrocephalus palustris,Bird,High,Species management ,NA,Targeted
2,Anser albifrons subsp. albifrons,Bird,High,Species management ,International,Targeted
4,Aythya marila,Bird,Medium,Sight protection or designation,Marine site designation,Targeted
5,Botaurus stellaris,Bird,Urgent,Bespoke habitat management,NA,Targeted
8,Caprimulgus europaeus,Bird,Urgent,General habitat management,ELM,Targeted
20,Oriolus oriolus,Bird,High,Species management ,NA,Targeted
26,Sterna dougallii,Bird,Urgent,Sight protection or designation,Site designation,Targeted
27,Streptopelia turtur,Bird,Urgent,Species management ,Action plan,Targeted
29,Vanellus vanellus,Bird,Urgent,Species management ,NA,Targeted
40,Idaea dilutaria,Moth,High,General habitat management,NA,Targeted
41,Idaea ochrata subsp. cantiata,Moth,High,General habitat management,NELMS,Targeted
53,Pyropteron chrysidiformis,Moth,High,Bespoke habitat management,NELMS,Targeted
57,Siona lineata,Moth,High,Bespoke habitat management,NELMS,Targeted
62,Thalera fimbrialis,Moth,High,Bespoke habitat management,NELMS,Targeted
2,Nyctalus noctula,Mammal,High,Policy or legislation,NA,Targeted
